average_rating,price,reviews_num,max_cpu_frequency,cpu_architecture,web_camera,weight,ethernet_adapter,pixel_response_time,microphone,warranty_duration,depth,screen_diagonal,battery_capacity,gaming_laptop,kensington_lock,cpu_cores_num,l2_cache,l3_cache,cpu_family,screen_refresh_rate,threads_num,max_possible_ram,integrated_graphics_card_model,dedicated_graphics_card_model,cpu_model,screen_resolution_name,hdd_capacity,ssd_capacity,graphics_ram,intel_optane_drive_capacity,os,optical_disc_drive,ppi,usb_power_delivery,keyboard_backlight,usb_2_0_ports,usb_3_x_ports,usb_type_c_ports,estimated_battery_life,gpu_manufacturer,cpu_manufacturer,ram,M_2_connector,sound_system,touch_screen,fingerprint_scanner,cpu_lithography,graphics_ram_type,ram_type,display_type,height,color,color_gamut,numeric_keypad,cpu_frequency,ram_frequency,width,release_year,memory_slots_num,additional_info,adaptive_sync_technology,multiple_35jacks,cellular_communication,dedicated_graphics,dedicated_graphics_only,usb2ethernet_adapter,display_port,hdmi,thunderbolt_2,thunderbolt_3,thunderbolt_4,vga,micro_hdmi,mini_display_port,additional_accessories,2_in_1,emcc,metal,plastic,carbon,brand_name,model_name,bluetooth,bluetooth_4_0,bluetooth_4_1,bluetooth_4_2,bluetooth_5_0,bluetooth_5_1,miracast,nfc,mmc,ms,micro_media,sd,sdhc,sdxc,micro_sd,micro_sdhc,micro_sdxc,glossy_display,screen_width_pixels,screen_height_pixels,hdd_increased_speed,best_wi_fi_standard,li_ion_battery_type,ultrabook,touch_numeric_keypad
1.0,17999.0,1.0,2.2,GoldMont,True,0.935,False,30.0,True,12.0,190.0,10.1,2500.0,False,False,4,2.0,0.0,Celeron,60.0,4.0,3,Intel HD Graphics 500,нет,N3450,HD,0.0,32.0,0.0,0.0,Windows 10 Home,False,149.0,0.0,0.0,1.0,1.0,0.0,4.5,Intel,Intel,3,0.0,стереодинамики,False,0.0,14.0,SMA,DDR4,IPS,13.0,черный,"49% sRGB, 45% NTSC, 34% AdobeRGB",False,1.1,2133.0,268.0,,,,,False,False,False,False,False,False,False,0,0,0,False,1,False,False,False,True,False,True,False,Digma,EVE 10 C301,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1280,800,False,4,True,False,False
4.2,24999.0,17.0,2.8,Goldmont Plus,True,1.05,False,,True,12.0,191.0,11.6,,False,False,2,4.0,0.0,Celeron,60.0,2.0,4,Intel UHD 600,нет,N4020,HD,0.0,64.0,0.0,0.0,Windows 10 Home,False,135.0,,0.0,1.0,1.0,1.0,,Intel,Intel,4,1.0,"ASUS SonicMaster , ICEpower",False,0.0,14.0,SMA,DDR4,TN+film,16.9,синий,45% NTSC,True,1.1,2400.0,279.0,2020.0,0.0,NumberPad,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,True,False,True,False,ASUS,Laptop E210MA-GJ001T,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1366,768,False,5,True,False,False
4.7,24999.0,3.0,2.8,Goldmont Plus,True,1.05,False,,True,12.0,191.2,11.6,,False,False,2,4.0,0.0,Celeron,60.0,2.0,4,Intel UHD 600,нет,N4020,HD,0.0,64.0,0.0,0.0,Windows 10 Home,False,135.0,,0.0,1.0,1.0,1.0,,Intel,Intel,4,1.0,"ASUS SonicMaster , ICEpower",False,0.0,14.0,SMA,DDR4,TN+film,16.9,розовый,45% NTSC,True,1.1,2400.0,279.0,2020.0,0.0,NumberPad,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,True,False,True,False,ASUS,Laptop E210MA-GJ002T,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1366,768,False,5,False,False,False
4.6,24999.0,9.0,2.8,Goldmont Plus,True,1.05,False,,True,12.0,191.0,11.6,,False,False,2,4.0,0.0,Celeron,60.0,2.0,4,Intel UHD 600,нет,N4020,HD,0.0,64.0,0.0,0.0,Windows 10 Home,False,135.0,,0.0,1.0,1.0,1.0,,Intel,Intel,4,1.0,"ASUS SonicMaster , ICEpower",False,0.0,14.0,SMA,DDR4,TN+film,16.9,белый,45% NTSC,False,1.1,2133.0,279.0,2020.0,0.0,NumberPad,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,True,False,True,False,ASUS,Laptop E210MA-GJ003T,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1366,768,False,5,True,False,False
3.8,28999.0,9.0,2.6,Excavator,True,2.0,False,,True,12.0,252.0,15.6,2600.0,False,True,2,1.0,0.0,A4,60.0,2.0,16,Radeon R3,нет,9125,HD,0.0,256.0,0.0,0.0,UNIX-подобная,False,101.0,0.0,0.0,2.0,1.0,0.0,5.0,AMD,AMD,4,0.0,ASUS SonicMaster,False,0.0,28.0,SMA,DDR4,TN+film,27.2,черный,,True,2.3,1866.0,381.0,2020.0,1.0,,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,False,True,False,ASUS,Laptop K540BA-GQ613,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1366,768,False,5,True,False,False
,28999.0,,2.2,Excavator,True,1.94,True,,True,12.0,250.5,15.6,4810.0,False,True,2,1.0,0.0,A4,60.0,2.0,12,Radeon R3,нет,9120e,HD,0.0,128.0,0.0,0.0,UNIX-подобная,False,101.0,0.0,0.0,2.0,1.0,0.0,5.0,AMD,AMD,4,1.0,два динамика,False,0.0,28.0,SMA,DDR4,TN+film,19.9,черный,45% NTSC,True,1.5,1866.0,363.4,2020.0,1.0,,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,False,True,False,Acer,Aspire 3 A315-22-48FX,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1366,768,False,5,True,False,False
5.0,29999.0,3.0,2.8,Goldmont Plus,True,1.63,False,,True,12.0,236.4,15.6,3783.7837837837837,False,True,2,4.0,0.0,Celeron,60.0,2.0,4,Intel UHD 600,нет,N4020,HD,0.0,128.0,0.0,0.0,DOS,False,101.0,,0.0,2.0,1.0,1.0,,Intel,Intel,4,1.0,"ASUS SonicMaster , ICEpower",False,0.0,14.0,SMA,DDR4,TN+film,18.1,черный,45% NTSC,True,1.1,,360.2,2020.0,,,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,True,False,True,False,ASUS,Laptop R522MA-BR021,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1366,768,False,5,True,False,False
2.4,29999.0,7.0,2.2,Excavator,True,1.94,True,,True,12.0,250.5,15.6,4810.0,False,True,2,1.0,0.0,A4,60.0,2.0,12,Radeon R3,нет,9120e,FullHD,0.0,256.0,0.0,0.0,UNIX-подобная,False,141.0,0.0,0.0,2.0,1.0,0.0,5.0,AMD,AMD,8,1.0,два динамика,False,0.0,28.0,SMA,DDR4,TN+film,19.9,черный,45% NTSC,True,1.5,1866.0,363.4,2020.0,1.0,,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,False,True,False,Acer,Aspire 3 A315-22-43HR,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1920,1080,False,5,True,False,False
4.4,29999.0,5.0,2.6,Goldmont Plus,True,1.94,True,,True,12.0,250.5,15.6,4810.0,False,True,2,4.0,0.0,Celeron,60.0,2.0,12,Intel UHD 600,нет,N4000,FullHD,0.0,128.0,0.0,0.0,UNIX-подобная,False,141.0,0.0,0.0,2.0,1.0,0.0,6.0,Intel,Intel,4,1.0,два динамика,False,0.0,14.0,SMA,DDR4,TN+film,19.9,черный,45% NTSC,True,1.1,2133.0,363.4,2020.0,1.0,,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,False,True,False,Acer,Aspire 3 A315-34-C1QD,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1920,1080,False,5,True,False,False
3.8,31999.0,4.0,3.7,Excavator,True,1.6,False,,True,12.0,216.0,14.0,,False,True,2,1.0,0.0,A9,60.0,2.0,8,Radeon R5,нет,9425,FullHD,0.0,128.0,0.0,0.0,Windows 10 Home,False,157.0,0.0,0.0,2.0,1.0,1.0,,AMD,AMD,4,1.0,ASUS SonicMaster,False,0.0,28.0,SMA,DDR4,IPS,23.1,серебристый,45% NTSC,False,3.1,1866.0,325.0,2020.0,1.0,,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,False,True,False,ASUS,Laptop D409BA-EB157T,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1920,1080,False,5,True,False,False
5.0,32999.0,4.0,3.2,Zen,True,1.5,False,,True,12.0,216.0,14.0,,False,True,2,1.0,4.0,Athlon,60.0,2.0,12,Radeon Vega 3,нет,Silver 3050U,FullHD,0.0,256.0,0.0,0.0,Windows 10 Home,False,157.0,,0.5,2.0,1.0,1.0,,AMD,AMD,4,1.0,ASUS SonicMaster,False,0.5,14.0,SMA,DDR4,TN+film,22.9,серебристый,45% NTSC,False,2.3,2400.0,325.0,2020.0,1.0,,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,False,True,False,ASUS,Laptop D409DA-EK433T,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1920,1080,False,5,True,False,False
5.0,32999.0,6.0,3.7,Excavator,True,1.9,False,,True,12.0,235.0,15.6,,False,True,2,1.0,0.0,A9,60.0,2.0,12,Radeon R5,нет,9425,FullHD,0.0,128.0,0.0,0.0,Windows 10 Home,False,141.0,0.0,0.0,2.0,1.0,1.0,,AMD,AMD,4,1.0,"ASUS SonicMaster , ICEpower",False,0.0,28.0,SMA,DDR4,IPS,22.9,серый,,True,3.1,1866.0,360.0,2020.0,1.0,,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,False,True,False,ASUS,Laptop D509BA-BQ197T,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1920,1080,False,5,True,False,False
3.7,32999.0,3.0,,Whiskey Lake,True,1.9,False,,True,12.0,235.0,15.6,,False,True,2,0.5,2.0,Pentium,60.0,4.0,12,Intel UHD,нет,Gold 5405U,FullHD,0.0,256.0,0.0,0.0,DOS,False,141.0,0.0,0.0,2.0,1.0,1.0,,Intel,Intel,4,1.0,"ASUS SonicMaster , ICEpower",False,0.0,14.0,SMA,DDR4,TN+film,22.9,серый,,True,2.3,2133.0,360.0,2020.0,1.0,,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,False,True,False,ASUS,Laptop F509FA-EJ898,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1920,1080,False,5,True,False,False
,32999.0,,2.8,Goldmont Plus,True,1.63,False,,True,12.0,236.4,15.6,3783.7837837837837,False,True,2,4.0,0.0,Celeron,60.0,2.0,4,Intel UHD 600,нет,N4020,HD,0.0,128.0,0.0,0.0,Windows 10 Home,False,101.0,,0.0,2.0,1.0,1.0,,Intel,Intel,4,1.0,"ASUS SonicMaster , ICEpower",False,0.0,14.0,SMA,DDR4,TN+film,18.1,черный,45% NTSC,True,1.1,,360.2,2020.0,,,нет,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,True,False,True,False,ASUS,Laptop R522MA-BR021T,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1366,768,False,5,True,False,False
